0,1,2
1,ABB India Limited,ABB
2,ACC Limited,ACC
3,AU Small Finance Bank Limited,AUBANK
4,Aarti Industries Limited,AARTIIND
5,Abbott India Limited,ABBOTINDIA
6,Adani Enterprises Limited,ADANIENT
7,Adani Ports and Special Economic Zone Limited,ADANIPORTS
8,Aditya Birla Capital Limited,ABCAPITAL
9,Aditya Birla Fashion and Retail Limited,ABFRL
10,Alkem Laboratories Limited,ALKEM
11,Ambuja Cements Limited,AMBUJACEM
12,Apollo Hospitals Enterprise Limited,APOLLOHOSP
13,Apollo Tyres Limited,APOLLOTYRE
14,Ashok Leyland Limited,ASHOKLEY
15,Asian Paints Limited,ASIANPAINT
16,Astral Limited,ASTRAL
17,Atul Limited,ATUL
18,Aurobindo Pharma Limited,AUROPHARMA
19,Axis Bank Limited,AXISBANK
20,BIRLASOFT LIMITED,BSOFT
21,Bajaj Auto Limited,BAJAJ-AUTO
22,Bajaj Finance Limited,BAJFINANCE
23,Bajaj Finserv Limited,BAJAJFINSV
24,Balkrishna Industries Limited,BALKRISIND
25,Balrampur Chini Mills Limited,BALRAMCHIN
26,Bandhan Bank Limited,BANDHANBNK
27,Bank of Baroda,BANKBARODA
28,Bata India Limited,BATAINDIA
29,Berger Paints (I) Limited,BERGEPAINT
30,Bharat Electronics Limited,BEL
31,Bharat Forge Limited,BHARATFORG
32,Bharat Heavy Electricals Limited,BHEL
33,Bharat Petroleum Corporation Limited,BPCL
34,Bharti Airtel Limited,BHARTIARTL
35,Biocon Limited,BIOCON
36,Bosch Limited,BOSCHLTD
37,Britannia Industries Limited,BRITANNIA
38,Can Fin Homes Limited,CANFINHOME
39,Canara Bank,CANBK
40,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
41,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
42,Cipla Limited,CIPLA
43,City Union Bank Limited,CUB
44,Coal India Limited,COALINDIA
45,Coforge Limited,COFORGE
46,Colgate Palmolive (India) Limited,COLPAL
47,Container Corporation of India Limited,CONCOR
48,Coromandel International Limited,COROMANDEL
