Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
29.0,2024-05-02 09:15:00,NFO,30-MAY-2024,30.0,28.0,30.0,487400,Options,Call,NESIND,2600.0,2200
30.45,2024-05-02 09:16:00,NFO,30-MAY-2024,30.45,30.45,30.45,487400,Options,Call,NESIND,2600.0,200
33.1,2024-05-02 09:17:00,NFO,30-MAY-2024,33.1,30.95,31.6,487400,Options,Call,NESIND,2600.0,1800
33.0,2024-05-02 09:18:00,NFO,30-MAY-2024,33.0,32.0,32.0,487400,Options,Call,NESIND,2600.0,5000
33.25,2024-05-02 09:19:00,NFO,30-MAY-2024,34.0,32.8,33.25,488600,Options,Call,NESIND,2600.0,1400
32.6,2024-05-02 09:20:00,NFO,30-MAY-2024,33.1,32.6,32.95,488600,Options,Call,NESIND,2600.0,1800
33.35,2024-05-02 09:21:00,NFO,30-MAY-2024,33.35,32.5,32.5,489200,Options,Call,NESIND,2600.0,1400
32.5,2024-05-02 09:22:00,NFO,30-MAY-2024,33.35,32.3,33.35,489200,Options,Call,NESIND,2600.0,2400
32.45,2024-05-02 09:23:00,NFO,30-MAY-2024,32.8,32.45,32.5,489200,Options,Call,NESIND,2600.0,1400
32.45,2024-05-02 09:24:00,NFO,30-MAY-2024,32.45,32.45,32.45,489200,Options,Call,NESIND,2600.0,0
32.85,2024-05-02 09:25:00,NFO,30-MAY-2024,32.85,32.05,32.05,488800,Options,Call,NESIND,2600.0,400
32.7,2024-05-02 09:26:00,NFO,30-MAY-2024,33.0,32.7,33.0,488800,Options,Call,NESIND,2600.0,600
33.0,2024-05-02 09:27:00,NFO,30-MAY-2024,33.05,33.0,33.0,488800,Options,Call,NESIND,2600.0,800
33.2,2024-05-02 09:28:00,NFO,30-MAY-2024,33.55,32.4,32.4,488800,Options,Call,NESIND,2600.0,2600
34.15,2024-05-02 09:29:00,NFO,30-MAY-2024,34.15,33.1,33.1,488800,Options,Call,NESIND,2600.0,800
35.35,2024-05-02 09:30:00,NFO,30-MAY-2024,35.35,34.65,34.75,487800,Options,Call,NESIND,2600.0,2400
35.55,2024-05-02 09:31:00,NFO,30-MAY-2024,36.1,35.3,35.35,487800,Options,Call,NESIND,2600.0,0
34.6,2024-05-02 09:32:00,NFO,30-MAY-2024,36.4,34.6,36.25,487800,Options,Call,NESIND,2600.0,1400
34.0,2024-05-02 09:33:00,NFO,30-MAY-2024,34.55,34.0,34.5,487800,Options,Call,NESIND,2600.0,3800
34.0,2024-05-02 09:34:00,NFO,30-MAY-2024,34.0,34.0,34.0,487600,Options,Call,NESIND,2600.0,0
34.25,2024-05-02 09:35:00,NFO,30-MAY-2024,34.25,34.15,34.15,487600,Options,Call,NESIND,2600.0,0
33.65,2024-05-02 09:36:00,NFO,30-MAY-2024,33.65,33.65,33.65,487600,Options,Call,NESIND,2600.0,1000
35.55,2024-05-02 09:37:00,NFO,30-MAY-2024,35.55,34.5,34.5,488000,Options,Call,NESIND,2600.0,800
35.55,2024-05-02 09:38:00,NFO,30-MAY-2024,35.55,35.55,35.55,488000,Options,Call,NESIND,2600.0,1000
35.85,2024-05-02 09:39:00,NFO,30-MAY-2024,36.4,35.55,35.55,488000,Options,Call,NESIND,2600.0,2600
35.0,2024-05-02 09:40:00,NFO,30-MAY-2024,35.85,35.0,35.85,488000,Options,Call,NESIND,2600.0,200
35.0,2024-05-02 09:41:00,NFO,30-MAY-2024,35.0,35.0,35.0,488000,Options,Call,NESIND,2600.0,400
34.9,2024-05-02 09:42:00,NFO,30-MAY-2024,35.45,34.9,35.45,487200,Options,Call,NESIND,2600.0,400
35.5,2024-05-02 09:43:00,NFO,30-MAY-2024,35.5,35.5,35.5,487200,Options,Call,NESIND,2600.0,600
36.0,2024-05-02 09:44:00,NFO,30-MAY-2024,36.0,35.65,35.9,487200,Options,Call,NESIND,2600.0,600
35.95,2024-05-02 09:45:00,NFO,30-MAY-2024,36.0,35.95,36.0,487400,Options,Call,NESIND,2600.0,600
36.3,2024-05-02 09:46:00,NFO,30-MAY-2024,36.45,35.95,35.95,487400,Options,Call,NESIND,2600.0,0
35.0,2024-05-02 09:47:00,NFO,30-MAY-2024,36.0,35.0,36.0,487400,Options,Call,NESIND,2600.0,800
35.5,2024-05-02 09:48:00,NFO,30-MAY-2024,35.5,35.0,35.0,487200,Options,Call,NESIND,2600.0,1400
35.7,2024-05-02 09:49:00,NFO,30-MAY-2024,35.7,35.3,35.3,487200,Options,Call,NESIND,2600.0,1000
35.95,2024-05-02 09:50:00,NFO,30-MAY-2024,35.95,35.8,35.8,487200,Options,Call,NESIND,2600.0,3200
35.95,2024-05-02 09:51:00,NFO,30-MAY-2024,35.95,35.95,35.95,487200,Options,Call,NESIND,2600.0,0
34.9,2024-05-02 09:52:00,NFO,30-MAY-2024,34.9,34.25,34.25,488000,Options,Call,NESIND,2600.0,400
34.5,2024-05-02 09:53:00,NFO,30-MAY-2024,34.9,34.5,34.9,488000,Options,Call,NESIND,2600.0,400
34.2,2024-05-02 09:54:00,NFO,30-MAY-2024,34.45,34.2,34.45,488000,Options,Call,NESIND,2600.0,1000
34.2,2024-05-02 09:55:00,NFO,30-MAY-2024,34.2,34.2,34.2,488000,Options,Call,NESIND,2600.0,0
34.4,2024-05-02 09:56:00,NFO,30-MAY-2024,34.4,34.0,34.4,487600,Options,Call,NESIND,2600.0,1600
34.7,2024-05-02 09:57:00,NFO,30-MAY-2024,34.7,34.4,34.4,487600,Options,Call,NESIND,2600.0,400
35.2,2024-05-02 09:58:00,NFO,30-MAY-2024,35.2,34.8,34.8,487400,Options,Call,NESIND,2600.0,600
35.0,2024-05-02 09:59:00,NFO,30-MAY-2024,35.2,35.0,35.2,487400,Options,Call,NESIND,2600.0,800
35.05,2024-05-02 10:00:00,NFO,30-MAY-2024,35.05,35.0,35.0,487600,Options,Call,NESIND,2600.0,200
35.8,2024-05-02 10:01:00,NFO,30-MAY-2024,35.8,35.05,35.05,487600,Options,Call,NESIND,2600.0,0
35.5,2024-05-02 10:02:00,NFO,30-MAY-2024,35.9,35.5,35.8,487600,Options,Call,NESIND,2600.0,1200
35.95,2024-05-02 10:03:00,NFO,30-MAY-2024,35.95,35.8,35.95,487800,Options,Call,NESIND,2600.0,600
36.0,2024-05-02 10:04:00,NFO,30-MAY-2024,36.0,35.95,35.95,487800,Options,Call,NESIND,2600.0,1600
