,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,132.7,2024-07-02 09:15:00,NFO,04-JUL-2024,136.5,132.7,136.5,2500200,Options,Call,NIFTY,24150.0,0
1,132.7,2024-07-02 09:15:00,NFO,04-JUL-2024,136.5,132.7,136.5,2500200,Options,Call,NIFTY,24150.0,0
2,130.0,2024-07-02 09:15:01,NFO,04-JUL-2024,130.35,130.0,130.35,2500200,Options,Call,NIFTY,24150.0,10225
3,127.4,2024-07-02 09:15:03,NFO,04-JUL-2024,127.4,127.4,127.4,2500200,Options,Call,NIFTY,24150.0,10200
4,131.05,2024-07-02 09:15:04,NFO,04-JUL-2024,131.05,130.7,130.7,2500200,Options,Call,NIFTY,24150.0,19050
5,129.15,2024-07-02 09:15:06,NFO,04-JUL-2024,129.15,129.15,129.15,2500200,Options,Call,NIFTY,24150.0,19600
6,129.7,2024-07-02 09:15:07,NFO,04-JUL-2024,129.7,129.7,129.7,2500200,Options,Call,NIFTY,24150.0,0
7,129.25,2024-07-02 09:15:08,NFO,04-JUL-2024,129.75,129.25,129.75,2500200,Options,Call,NIFTY,24150.0,44725
8,134.85,2024-07-02 09:15:09,NFO,04-JUL-2024,135.15,134.85,135.15,2500200,Options,Call,NIFTY,24150.0,23975
9,133.3,2024-07-02 09:15:10,NFO,04-JUL-2024,133.3,133.3,133.3,2500200,Options,Call,NIFTY,24150.0,0
10,132.65,2024-07-02 09:15:11,NFO,04-JUL-2024,132.65,132.65,132.65,2500200,Options,Call,NIFTY,24150.0,10875
11,133.5,2024-07-02 09:15:13,NFO,04-JUL-2024,133.5,132.75,132.75,2493950,Options,Call,NIFTY,24150.0,23400
12,131.7,2024-07-02 09:15:14,NFO,04-JUL-2024,131.7,130.75,130.75,2493950,Options,Call,NIFTY,24150.0,12000
13,131.1,2024-07-02 09:15:15,NFO,04-JUL-2024,131.1,131.1,131.1,2493950,Options,Call,NIFTY,24150.0,0
14,131.35,2024-07-02 09:15:16,NFO,04-JUL-2024,131.75,131.35,131.75,2493950,Options,Call,NIFTY,24150.0,15950
15,129.6,2024-07-02 09:15:19,NFO,04-JUL-2024,129.6,128.3,128.3,2493950,Options,Call,NIFTY,24150.0,33075
16,130.75,2024-07-02 09:15:20,NFO,04-JUL-2024,130.75,130.75,130.75,2493950,Options,Call,NIFTY,24150.0,0
17,130.3,2024-07-02 09:15:22,NFO,04-JUL-2024,130.3,129.3,129.3,2493950,Options,Call,NIFTY,24150.0,30775
18,130.65,2024-07-02 09:15:23,NFO,04-JUL-2024,130.9,130.65,130.9,2493950,Options,Call,NIFTY,24150.0,24800
19,132.95,2024-07-02 09:15:24,NFO,04-JUL-2024,132.95,132.95,132.95,2493950,Options,Call,NIFTY,24150.0,0
20,133.55,2024-07-02 09:15:25,NFO,04-JUL-2024,133.55,133.15,133.15,2493950,Options,Call,NIFTY,24150.0,15450
21,133.7,2024-07-02 09:15:27,NFO,04-JUL-2024,133.7,133.2,133.2,2493950,Options,Call,NIFTY,24150.0,9500
22,133.5,2024-07-02 09:15:28,NFO,04-JUL-2024,133.5,133.5,133.5,2493950,Options,Call,NIFTY,24150.0,11025
23,133.9,2024-07-02 09:15:30,NFO,04-JUL-2024,133.9,132.6,132.6,2493950,Options,Call,NIFTY,24150.0,6800
24,134.3,2024-07-02 09:15:31,NFO,04-JUL-2024,134.3,134.3,134.3,2493950,Options,Call,NIFTY,24150.0,8425
25,134.75,2024-07-02 09:15:32,NFO,04-JUL-2024,134.75,134.75,134.75,2493950,Options,Call,NIFTY,24150.0,0
26,134.05,2024-07-02 09:15:33,NFO,04-JUL-2024,134.05,134.05,134.05,2493950,Options,Call,NIFTY,24150.0,19525
27,135.15,2024-07-02 09:15:34,NFO,04-JUL-2024,135.15,133.75,133.75,2493950,Options,Call,NIFTY,24150.0,0
28,136.2,2024-07-02 09:15:35,NFO,04-JUL-2024,136.2,135.45,135.45,2493950,Options,Call,NIFTY,24150.0,17300
29,135.35,2024-07-02 09:15:37,NFO,04-JUL-2024,135.35,135.35,135.35,2493950,Options,Call,NIFTY,24150.0,0
30,136.0,2024-07-02 09:15:38,NFO,04-JUL-2024,136.0,135.2,135.2,2493950,Options,Call,NIFTY,24150.0,0
31,134.75,2024-07-02 09:15:39,NFO,04-JUL-2024,134.75,134.75,134.75,2493950,Options,Call,NIFTY,24150.0,36550
32,134.6,2024-07-02 09:15:40,NFO,04-JUL-2024,134.6,134.6,134.6,2493950,Options,Call,NIFTY,24150.0,0
33,134.3,2024-07-02 09:15:41,NFO,04-JUL-2024,135.9,134.3,135.9,2493950,Options,Call,NIFTY,24150.0,11150
34,134.5,2024-07-02 09:15:42,NFO,04-JUL-2024,134.5,134.5,134.5,2493950,Options,Call,NIFTY,24150.0,0
35,133.7,2024-07-02 09:15:43,NFO,04-JUL-2024,133.7,133.7,133.7,2493950,Options,Call,NIFTY,24150.0,16050
36,134.7,2024-07-02 09:15:44,NFO,04-JUL-2024,134.7,134.5,134.5,2493950,Options,Call,NIFTY,24150.0,9550
37,134.8,2024-07-02 09:15:45,NFO,04-JUL-2024,134.8,134.8,134.8,2493950,Options,Call,NIFTY,24150.0,0
38,135.3,2024-07-02 09:15:46,NFO,04-JUL-2024,135.3,135.3,135.3,2493950,Options,Call,NIFTY,24150.0,12850
39,134.35,2024-07-02 09:15:47,NFO,04-JUL-2024,134.35,134.35,134.35,2493950,Options,Call,NIFTY,24150.0,0
40,135.2,2024-07-02 09:15:48,NFO,04-JUL-2024,135.2,135.2,135.2,2493950,Options,Call,NIFTY,24150.0,0
41,134.85,2024-07-02 09:15:50,NFO,04-JUL-2024,134.85,134.85,134.85,2493950,Options,Call,NIFTY,24150.0,0
42,134.5,2024-07-02 09:15:51,NFO,04-JUL-2024,134.5,134.5,134.5,2493950,Options,Call,NIFTY,24150.0,0
43,134.85,2024-07-02 09:15:52,NFO,04-JUL-2024,134.85,134.85,134.85,2493950,Options,Call,NIFTY,24150.0,0
44,132.4,2024-07-02 09:15:54,NFO,04-JUL-2024,134.0,132.4,134.0,2493950,Options,Call,NIFTY,24150.0,0
45,132.05,2024-07-02 09:15:56,NFO,04-JUL-2024,132.05,132.05,132.05,2493950,Options,Call,NIFTY,24150.0,0
46,133.95,2024-07-02 09:15:57,NFO,04-JUL-2024,133.95,133.95,133.95,2493950,Options,Call,NIFTY,24150.0,69750
47,133.6,2024-07-02 09:15:58,NFO,04-JUL-2024,133.6,133.6,133.6,2493950,Options,Call,NIFTY,24150.0,0
48,133.6,2024-07-02 09:15:59,NFO,04-JUL-2024,133.6,133.6,133.6,2493950,Options,Call,NIFTY,24150.0,11275
49,133.95,2024-07-02 09:16:00,NFO,04-JUL-2024,134.0,133.7,133.7,2493950,Options,Call,NIFTY,24150.0,10275
50,134.05,2024-07-02 09:16:01,NFO,04-JUL-2024,134.05,134.05,134.05,2493950,Options,Call,NIFTY,24150.0,0
51,134.55,2024-07-02 09:16:02,NFO,04-JUL-2024,134.55,134.55,134.55,2493950,Options,Call,NIFTY,24150.0,12575
52,136.05,2024-07-02 09:16:03,NFO,04-JUL-2024,136.05,134.65,134.65,2493950,Options,Call,NIFTY,24150.0,0
53,136.75,2024-07-02 09:16:05,NFO,04-JUL-2024,136.75,136.2,136.2,2493950,Options,Call,NIFTY,24150.0,40025
54,137.25,2024-07-02 09:16:06,NFO,04-JUL-2024,137.25,137.0,137.0,2493950,Options,Call,NIFTY,24150.0,0
55,138.25,2024-07-02 09:16:08,NFO,04-JUL-2024,138.25,137.05,137.05,2493950,Options,Call,NIFTY,24150.0,30000
56,139.4,2024-07-02 09:16:09,NFO,04-JUL-2024,139.4,139.4,139.4,2493950,Options,Call,NIFTY,24150.0,0
57,138.95,2024-07-02 09:16:10,NFO,04-JUL-2024,138.95,138.95,138.95,2493950,Options,Call,NIFTY,24150.0,16575
58,139.75,2024-07-02 09:16:11,NFO,04-JUL-2024,139.75,139.75,139.75,2493950,Options,Call,NIFTY,24150.0,0
59,140.8,2024-07-02 09:16:12,NFO,04-JUL-2024,140.8,140.8,140.8,2493950,Options,Call,NIFTY,24150.0,0
60,141.55,2024-07-02 09:16:13,NFO,04-JUL-2024,141.55,141.55,141.55,2493950,Options,Call,NIFTY,24150.0,0
61,141.05,2024-07-02 09:16:14,NFO,04-JUL-2024,141.05,140.75,140.75,2493950,Options,Call,NIFTY,24150.0,57425
62,142.05,2024-07-02 09:16:15,NFO,04-JUL-2024,142.05,142.05,142.05,2493950,Options,Call,NIFTY,24150.0,0
63,141.8,2024-07-02 09:16:16,NFO,04-JUL-2024,141.8,141.8,141.8,2493950,Options,Call,NIFTY,24150.0,18925
64,140.35,2024-07-02 09:16:17,NFO,04-JUL-2024,140.35,140.35,140.35,2493950,Options,Call,NIFTY,24150.0,0
65,141.0,2024-07-02 09:16:18,NFO,04-JUL-2024,141.0,140.7,140.7,2493950,Options,Call,NIFTY,24150.0,11975
66,141.85,2024-07-02 09:16:19,NFO,04-JUL-2024,141.85,141.85,141.85,2493950,Options,Call,NIFTY,24150.0,10575
67,141.55,2024-07-02 09:16:20,NFO,04-JUL-2024,141.55,141.55,141.55,2493950,Options,Call,NIFTY,24150.0,0
68,142.3,2024-07-02 09:16:22,NFO,04-JUL-2024,142.3,142.3,142.3,2493950,Options,Call,NIFTY,24150.0,0
69,143.15,2024-07-02 09:16:23,NFO,04-JUL-2024,143.25,143.15,143.25,2493950,Options,Call,NIFTY,24150.0,23450
70,144.5,2024-07-02 09:16:24,NFO,04-JUL-2024,144.5,144.0,144.0,2493950,Options,Call,NIFTY,24150.0,9250
71,145.2,2024-07-02 09:16:26,NFO,04-JUL-2024,145.2,145.0,145.0,2493950,Options,Call,NIFTY,24150.0,0
72,146.15,2024-07-02 09:16:27,NFO,04-JUL-2024,146.15,146.0,146.0,2493950,Options,Call,NIFTY,24150.0,32950
73,147.35,2024-07-02 09:16:30,NFO,04-JUL-2024,147.6,147.35,147.6,2493950,Options,Call,NIFTY,24150.0,29850
74,148.75,2024-07-02 09:16:32,NFO,04-JUL-2024,148.75,148.0,148.2,2493950,Options,Call,NIFTY,24150.0,12375
75,148.15,2024-07-02 09:16:33,NFO,04-JUL-2024,148.15,147.85,147.85,2493950,Options,Call,NIFTY,24150.0,16675
76,145.25,2024-07-02 09:16:36,NFO,04-JUL-2024,145.25,145.25,145.25,2493950,Options,Call,NIFTY,24150.0,0
77,144.25,2024-07-02 09:16:37,NFO,04-JUL-2024,145.15,144.25,145.15,2493950,Options,Call,NIFTY,24150.0,23025
78,143.8,2024-07-02 09:16:38,NFO,04-JUL-2024,143.8,143.5,143.5,2493950,Options,Call,NIFTY,24150.0,12100
79,142.9,2024-07-02 09:16:39,NFO,04-JUL-2024,142.9,142.9,142.9,2493950,Options,Call,NIFTY,24150.0,11675
80,142.8,2024-07-02 09:16:40,NFO,04-JUL-2024,142.8,142.8,142.8,2493950,Options,Call,NIFTY,24150.0,0
81,142.75,2024-07-02 09:16:41,NFO,04-JUL-2024,142.75,142.75,142.75,2493950,Options,Call,NIFTY,24150.0,8275
82,144.4,2024-07-02 09:16:42,NFO,04-JUL-2024,144.4,143.7,143.7,2493950,Options,Call,NIFTY,24150.0,7100
83,145.4,2024-07-02 09:16:43,NFO,04-JUL-2024,145.4,145.4,145.4,2493950,Options,Call,NIFTY,24150.0,0
84,146.3,2024-07-02 09:16:44,NFO,04-JUL-2024,146.3,146.0,146.0,2493950,Options,Call,NIFTY,24150.0,8800
85,147.05,2024-07-02 09:16:45,NFO,04-JUL-2024,147.05,147.05,147.05,2493950,Options,Call,NIFTY,24150.0,8725
86,147.6,2024-07-02 09:16:47,NFO,04-JUL-2024,147.6,147.3,147.3,2493950,Options,Call,NIFTY,24150.0,8000
87,147.1,2024-07-02 09:16:48,NFO,04-JUL-2024,147.1,147.0,147.0,2493950,Options,Call,NIFTY,24150.0,7000
88,148.15,2024-07-02 09:16:50,NFO,04-JUL-2024,148.15,148.15,148.15,2493950,Options,Call,NIFTY,24150.0,0
89,147.9,2024-07-02 09:16:51,NFO,04-JUL-2024,147.9,147.85,147.85,2493950,Options,Call,NIFTY,24150.0,20100
90,147.75,2024-07-02 09:16:52,NFO,04-JUL-2024,147.85,147.6,147.85,2493950,Options,Call,NIFTY,24150.0,6750
91,147.55,2024-07-02 09:16:55,NFO,04-JUL-2024,147.55,147.15,147.15,2493950,Options,Call,NIFTY,24150.0,18075
92,147.35,2024-07-02 09:16:56,NFO,04-JUL-2024,147.35,147.35,147.35,2493950,Options,Call,NIFTY,24150.0,0
93,146.25,2024-07-02 09:16:57,NFO,04-JUL-2024,146.25,146.25,146.25,2493950,Options,Call,NIFTY,24150.0,0
94,146.4,2024-07-02 09:16:59,NFO,04-JUL-2024,146.4,146.4,146.4,2493950,Options,Call,NIFTY,24150.0,0
