,Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
0,23.1,2024-07-02 09:15:00,NFO,04-JUL-2024,23.1,23.1,23.1,0,Options,Put,NIFTY,23750.0,0
1,23.1,2024-07-02 09:15:00,NFO,04-JUL-2024,23.1,23.1,23.1,0,Options,Put,NIFTY,23750.0,0
2,17.4,2024-07-02 09:15:01,NFO,04-JUL-2024,19.95,17.4,19.95,1549075,Options,Put,NIFTY,23750.0,0
3,19.75,2024-07-02 09:15:02,NFO,04-JUL-2024,19.75,19.75,19.75,1549075,Options,Put,NIFTY,23750.0,425
4,18.7,2024-07-02 09:15:03,NFO,04-JUL-2024,18.7,18.7,18.7,1549075,Options,Put,NIFTY,23750.0,0
5,19.6,2024-07-02 09:15:04,NFO,04-JUL-2024,19.6,19.6,19.6,1549075,Options,Put,NIFTY,23750.0,625
6,18.95,2024-07-02 09:15:05,NFO,04-JUL-2024,18.95,18.95,18.95,1549075,Options,Put,NIFTY,23750.0,0
7,18.95,2024-07-02 09:15:07,NFO,04-JUL-2024,18.95,18.95,18.95,1549075,Options,Put,NIFTY,23750.0,5825
8,19.05,2024-07-02 09:15:08,NFO,04-JUL-2024,19.05,19.05,19.05,1549075,Options,Put,NIFTY,23750.0,0
9,18.0,2024-07-02 09:15:09,NFO,04-JUL-2024,18.0,18.0,18.0,1549075,Options,Put,NIFTY,23750.0,4075
10,18.95,2024-07-02 09:15:12,NFO,04-JUL-2024,19.0,18.95,19.0,1549075,Options,Put,NIFTY,23750.0,3825
11,19.0,2024-07-02 09:15:14,NFO,04-JUL-2024,19.3,19.0,19.3,1549075,Options,Put,NIFTY,23750.0,3075
12,18.8,2024-07-02 09:15:15,NFO,04-JUL-2024,18.95,18.8,18.95,1549075,Options,Put,NIFTY,23750.0,0
13,18.85,2024-07-02 09:15:19,NFO,04-JUL-2024,18.85,18.85,18.85,1559650,Options,Put,NIFTY,23750.0,0
14,18.75,2024-07-02 09:15:20,NFO,04-JUL-2024,18.75,18.75,18.75,1559650,Options,Put,NIFTY,23750.0,26000
15,18.7,2024-07-02 09:15:23,NFO,04-JUL-2024,18.7,18.7,18.7,1559650,Options,Put,NIFTY,23750.0,9125
16,18.55,2024-07-02 09:15:24,NFO,04-JUL-2024,18.55,18.55,18.55,1559650,Options,Put,NIFTY,23750.0,0
17,18.65,2024-07-02 09:15:26,NFO,04-JUL-2024,18.8,18.65,18.8,1559650,Options,Put,NIFTY,23750.0,7125
18,18.55,2024-07-02 09:15:27,NFO,04-JUL-2024,18.55,18.55,18.55,1559650,Options,Put,NIFTY,23750.0,0
19,18.8,2024-07-02 09:15:28,NFO,04-JUL-2024,18.8,18.65,18.65,1559650,Options,Put,NIFTY,23750.0,1925
20,18.7,2024-07-02 09:15:29,NFO,04-JUL-2024,18.7,18.7,18.7,1559650,Options,Put,NIFTY,23750.0,5500
21,18.1,2024-07-02 09:15:30,NFO,04-JUL-2024,18.1,18.1,18.1,1559650,Options,Put,NIFTY,23750.0,4875
22,18.15,2024-07-02 09:15:31,NFO,04-JUL-2024,18.15,18.15,18.15,1559650,Options,Put,NIFTY,23750.0,0
23,17.7,2024-07-02 09:15:34,NFO,04-JUL-2024,17.7,17.7,17.7,1559650,Options,Put,NIFTY,23750.0,0
24,17.5,2024-07-02 09:15:35,NFO,04-JUL-2024,17.5,17.5,17.5,1559650,Options,Put,NIFTY,23750.0,0
25,18.0,2024-07-02 09:15:36,NFO,04-JUL-2024,18.0,17.75,17.75,1559650,Options,Put,NIFTY,23750.0,12925
26,17.95,2024-07-02 09:15:37,NFO,04-JUL-2024,17.95,17.95,17.95,1559650,Options,Put,NIFTY,23750.0,0
27,17.95,2024-07-02 09:15:38,NFO,04-JUL-2024,17.95,17.9,17.9,1559650,Options,Put,NIFTY,23750.0,0
28,17.65,2024-07-02 09:15:40,NFO,04-JUL-2024,17.65,17.6,17.6,1559650,Options,Put,NIFTY,23750.0,4825
29,17.8,2024-07-02 09:15:41,NFO,04-JUL-2024,17.8,17.8,17.8,1559650,Options,Put,NIFTY,23750.0,0
30,17.95,2024-07-02 09:15:42,NFO,04-JUL-2024,18.15,17.95,18.15,1559650,Options,Put,NIFTY,23750.0,1325
31,17.95,2024-07-02 09:15:43,NFO,04-JUL-2024,17.95,17.8,17.8,1559650,Options,Put,NIFTY,23750.0,2725
