Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
66.45,2024-06-06 09:15:03,NFO,13-JUN-2024,66.45,66.45,66.45,0,Options,Call,NIFTY,23600.0,0
55.0,2024-06-06 09:15:05,NFO,13-JUN-2024,55.0,55.0,55.0,145575,Options,Call,NIFTY,23600.0,0
55.0,2024-06-06 09:15:06,NFO,13-JUN-2024,55.0,55.0,55.0,145575,Options,Call,NIFTY,23600.0,0
54.9,2024-06-06 09:15:07,NFO,13-JUN-2024,54.9,54.9,54.9,145575,Options,Call,NIFTY,23600.0,0
54.85,2024-06-06 09:15:13,NFO,13-JUN-2024,54.85,54.85,54.85,145575,Options,Call,NIFTY,23600.0,0
54.85,2024-06-06 09:15:15,NFO,13-JUN-2024,54.85,54.85,54.85,145575,Options,Call,NIFTY,23600.0,1825
53.9,2024-06-06 09:15:19,NFO,13-JUN-2024,53.9,53.9,53.9,145575,Options,Call,NIFTY,23600.0,0
48.4,2024-06-06 09:15:24,NFO,13-JUN-2024,48.4,48.4,48.4,146675,Options,Call,NIFTY,23600.0,0
37.35,2024-06-06 09:15:29,NFO,13-JUN-2024,37.35,37.35,37.35,146675,Options,Call,NIFTY,23600.0,0
43.55,2024-06-06 09:15:31,NFO,13-JUN-2024,43.55,43.55,43.55,146675,Options,Call,NIFTY,23600.0,0
38.85,2024-06-06 09:15:36,NFO,13-JUN-2024,38.85,38.85,38.85,146675,Options,Call,NIFTY,23600.0,0
38.7,2024-06-06 09:15:37,NFO,13-JUN-2024,38.7,38.7,38.7,146675,Options,Call,NIFTY,23600.0,0
38.55,2024-06-06 09:15:38,NFO,13-JUN-2024,38.55,38.55,38.55,146675,Options,Call,NIFTY,23600.0,0
34.8,2024-06-06 09:15:39,NFO,13-JUN-2024,34.8,34.8,34.8,146675,Options,Call,NIFTY,23600.0,0
38.95,2024-06-06 09:15:41,NFO,13-JUN-2024,38.95,38.95,38.95,146675,Options,Call,NIFTY,23600.0,0
39.0,2024-06-06 09:15:42,NFO,13-JUN-2024,39.0,39.0,39.0,146675,Options,Call,NIFTY,23600.0,0
38.0,2024-06-06 09:15:43,NFO,13-JUN-2024,38.0,38.0,38.0,146675,Options,Call,NIFTY,23600.0,1225
39.0,2024-06-06 09:15:46,NFO,13-JUN-2024,39.0,39.0,39.0,146675,Options,Call,NIFTY,23600.0,0
30.7,2024-06-06 09:15:47,NFO,13-JUN-2024,30.7,30.7,30.7,146675,Options,Call,NIFTY,23600.0,0
38.25,2024-06-06 09:15:48,NFO,13-JUN-2024,38.25,38.25,38.25,146675,Options,Call,NIFTY,23600.0,0
38.95,2024-06-06 09:15:51,NFO,13-JUN-2024,38.95,38.95,38.95,146675,Options,Call,NIFTY,23600.0,0
38.95,2024-06-06 09:15:53,NFO,13-JUN-2024,38.95,38.95,38.95,146675,Options,Call,NIFTY,23600.0,0
38.95,2024-06-06 09:15:54,NFO,13-JUN-2024,38.95,38.95,38.95,146675,Options,Call,NIFTY,23600.0,0
38.0,2024-06-06 09:15:56,NFO,13-JUN-2024,38.0,38.0,38.0,146675,Options,Call,NIFTY,23600.0,0
39.0,2024-06-06 09:15:59,NFO,13-JUN-2024,39.0,39.0,39.0,146675,Options,Call,NIFTY,23600.0,0
35.7,2024-06-06 09:16:03,NFO,13-JUN-2024,35.7,35.7,35.7,146675,Options,Call,NIFTY,23600.0,0
32.1,2024-06-06 09:16:04,NFO,13-JUN-2024,32.1,32.1,32.1,146675,Options,Call,NIFTY,23600.0,0
38.0,2024-06-06 09:16:07,NFO,13-JUN-2024,38.0,38.0,38.0,146675,Options,Call,NIFTY,23600.0,0
39.0,2024-06-06 09:16:08,NFO,13-JUN-2024,39.0,39.0,39.0,146675,Options,Call,NIFTY,23600.0,0
36.6,2024-06-06 09:16:09,NFO,13-JUN-2024,36.6,36.6,36.6,146675,Options,Call,NIFTY,23600.0,0
39.05,2024-06-06 09:16:10,NFO,13-JUN-2024,39.05,39.0,39.0,146675,Options,Call,NIFTY,23600.0,4250
