Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
197.7,2024-06-18 09:15:00,NFO,27-JUN-2024,207.9,191.85,191.85,3076200,Options,Call,NIFTY,23500.0,204775
203.75,2024-06-18 09:16:00,NFO,27-JUN-2024,204.75,198.45,198.45,3076200,Options,Call,NIFTY,23500.0,137625
206.25,2024-06-18 09:17:00,NFO,27-JUN-2024,209.15,203.7,203.8,3076200,Options,Call,NIFTY,23500.0,83675
200.9,2024-06-18 09:18:00,NFO,27-JUN-2024,207.35,200.9,206.55,3066350,Options,Call,NIFTY,23500.0,102600
205.85,2024-06-18 09:19:00,NFO,27-JUN-2024,205.85,198.45,200.6,3066350,Options,Call,NIFTY,23500.0,59000
206.05,2024-06-18 09:20:00,NFO,27-JUN-2024,209.0,204.25,204.85,3066350,Options,Call,NIFTY,23500.0,51150
206.6,2024-06-18 09:21:00,NFO,27-JUN-2024,207.15,204.5,205.45,3091100,Options,Call,NIFTY,23500.0,56750
202.65,2024-06-18 09:22:00,NFO,27-JUN-2024,207.1,200.0,206.5,3091100,Options,Call,NIFTY,23500.0,191500
197.65,2024-06-18 09:23:00,NFO,27-JUN-2024,202.25,196.1,202.25,3091100,Options,Call,NIFTY,23500.0,130475
201.5,2024-06-18 09:24:00,NFO,27-JUN-2024,202.2,196.25,198.15,3265525,Options,Call,NIFTY,23500.0,107550
200.5,2024-06-18 09:25:00,NFO,27-JUN-2024,205.6,200.2,201.5,3265525,Options,Call,NIFTY,23500.0,52825
196.75,2024-06-18 09:26:00,NFO,27-JUN-2024,200.25,195.0,200.25,3265525,Options,Call,NIFTY,23500.0,54400
199.4,2024-06-18 09:27:00,NFO,27-JUN-2024,202.0,196.8,196.8,3291125,Options,Call,NIFTY,23500.0,42475
197.05,2024-06-18 09:28:00,NFO,27-JUN-2024,199.35,196.0,199.35,3291125,Options,Call,NIFTY,23500.0,45100
203.15,2024-06-18 09:29:00,NFO,27-JUN-2024,203.25,196.4,196.4,3291125,Options,Call,NIFTY,23500.0,41500
