name,avg_return,avg_volatility,len,interval,period
20MICRONS,0.2529,2.6938,245,1d,1y
21STCENMGM,0.3624,1.6116,246,1d,1y
360ONE,0.2281,1.9841,246,1d,1y
3IINFOLTD,0.0945,3.2913,246,1d,1y
3MINDIA,0.106,1.9009,245,1d,1y
3PLAND,0.1181,2.8608,245,1d,1y
5PAISA,0.2583,2.7525,246,1d,1y
63MOONS,0.343,3.6457,246,1d,1y
A2ZINFRA,0.2528,2.8047,245,1d,1y
AAATECH,0.2317,3.3121,245,1d,1y
AAKASH,0.2177,3.262,246,1d,1y
AAREYDRUGS,0.2491,3.3109,245,1d,1y
AARON,0.112,2.6362,245,1d,1y
AARTECH,0.2283,3.3334,186,1d,1y
AARTIDRUGS,0.0785,2.3208,246,1d,1y
AARTIIND,0.1292,2.1083,246,1d,1y
AARTIPHARM,0.1401,2.6746,246,1d,1y
AARTISURF,0.0531,2.1297,246,1d,1y
AARVEEDEN,0.0734,3.6217,245,1d,1y
AARVI,0.0852,2.9332,245,1d,1y
AAVAS,-0.0544,1.8688,246,1d,1y
ABAN,0.2148,3.4294,246,1d,1y
ABB,0.301,1.9078,246,1d,1y
ABBOTINDIA,0.066,1.2795,246,1d,1y
ABCAPITAL,0.1022,2.0101,246,1d,1y
ABFRL,0.0128,2.089,246,1d,1y
ABMINTLLTD,0.0613,3.684,245,1d,1y
ABSLAMC,0.1579,1.3856,246,1d,1y
ACC,0.1363,1.7665,246,1d,1y
ACCELYA,0.1324,2.441,246,1d,1y
ACCURACY,-0.2577,3.1952,246,1d,1y
ACE,0.5351,3.2125,246,1d,1y
ACEINTEG,-0.0056,3.3143,245,1d,1y
ACI,0.0712,2.2416,246,1d,1y
ACL,-0.04,4.6121,246,1d,1y
ACLGATI,-0.0391,2.4493,246,1d,1y
ADANIENSOL,0.1682,3.4584,160,1d,1y
ADANIENT,0.2204,2.6031,246,1d,1y
ADANIGREEN,0.2833,2.9031,246,1d,1y
ADANIPORTS,0.2893,1.9958,246,1d,1y
ADANIPOWER,0.4679,2.7811,246,1d,1y
ADFFOODS,0.108,3.1997,245,1d,1y
ADL,0.1517,2.5173,245,1d,1y
ADORWELD,0.1515,2.4402,245,1d,1y
ADROITINFO,0.0202,3.184,245,1d,1y
ADSL,0.2159,3.5068,246,1d,1y
ADVANIHOTR,0.3129,2.8162,246,1d,1y
ADVENZYMES,0.1344,1.8787,245,1d,1y
AEGISCHEM,0.0882,2.651,246,1d,1y
AEROFLEX,-0.0868,2.5943,150,1d,1y
AETHER,-0.0376,1.801,246,1d,1y
AFFLE,0.053,1.724,246,1d,1y
AGARIND,0.1324,2.8013,246,1d,1y
AGI,0.3155,3.2648,246,1d,1y
AGRITECH,0.322,3.4695,245,1d,1y
AGROPHOS,0.0592,3.5332,246,1d,1y
AGSTRA,0.1714,2.9174,246,1d,1y
AHL,0.2655,2.8577,245,1d,1y
AHLADA,0.0483,3.093,246,1d,1y
AHLEAST,0.0864,2.6847,245,1d,1y
AHLUCONT,0.298,2.5936,245,1d,1y
AIAENG,0.1259,1.7726,246,1d,1y
AIRAN,0.2245,2.9914,245,1d,1y
AIROLAM,0.3475,3.3406,245,1d,1y
AJANTPHARM,0.214,1.7503,245,1d,1y
AJMERA,0.4063,3.2765,246,1d,1y
AJOONI,0.0713,3.0878,245,1d,1y
AKASH,0.1459,3.371,245,1d,1y
AKG,-0.1888,2.8523,246,1d,1y
AKI,-0.0259,2.9729,245,1d,1y
AKSHAR,-0.2718,3.2889,246,1d,1y
AKSHARCHEM,0.0713,3.0749,245,1d,1y
AKSHOPTFBR,-0.0022,3.3085,245,1d,1y
AKZOINDIA,0.0261,1.4327,246,1d,1y
