name,avg_return,avg_volatility,len,interval,period
20MICRONS,0.0,0.2106,1393,1m,7d
21STCENMGM,0.2224,0.6218,53,1m,7d
360ONE,0.0027,0.1592,2544,1m,7d
3IINFOLTD,-0.001,0.1563,2408,1m,7d
3MINDIA,-0.0012,0.1065,1771,1m,7d
3PLAND,0.0108,1.5886,396,1m,7d
5PAISA,0.0013,0.1749,2333,1m,7d
63MOONS,-0.005,0.2117,2049,1m,7d
A2ZINFRA,-0.0108,0.9895,672,1m,7d
AAATECH,0.0174,0.9691,646,1m,7d
AAKASH,0.004,0.3783,2237,1m,7d
AAREYDRUGS,0.0029,1.1496,501,1m,7d
AARON,-0.0018,0.3071,871,1m,7d
AARTECH,0.0146,0.6063,857,1m,7d
AARTIDRUGS,0.0031,0.1718,2454,1m,7d
AARTIIND,0.0037,0.106,2621,1m,7d
AARTIPHARM,-0.0011,0.1307,2373,1m,7d
AARTISURF,0.005,0.2371,1545,1m,7d
AARVEEDEN,0.0094,0.6302,674,1m,7d
AARVI,0.0247,0.4707,1040,1m,7d
AAVAS,0.0039,0.1928,2619,1m,7d
ABAN,0.0074,0.4181,1296,1m,7d
ABB,0.0017,0.0825,2621,1m,7d
ABBOTINDIA,-0.0012,0.0745,2377,1m,7d
ABCAPITAL,0.0003,0.1085,2620,1m,7d
ABFRL,-0.0004,0.111,2619,1m,7d
ABMINTLLTD,0.0138,1.974,135,1m,7d
ABSLAMC,0.002,0.1085,2582,1m,7d
ACC,-0.0024,0.0788,2619,1m,7d
ACCELYA,0.0017,0.1605,1889,1m,7d
ACCURACY,-0.1618,0.5116,42,1m,7d
ACE,-0.0024,0.1574,2620,1m,7d
ACEINTEG,0.0061,1.1387,343,1m,7d
ACI,0.0018,0.1457,2618,1m,7d
ACL,0.0002,0.2686,1670,1m,7d
ACLGATI,0.0015,0.1509,2208,1m,7d
ADANIENSOL,-0.0009,0.1049,2622,1m,7d
ADANIENT,-0.0004,0.0706,2623,1m,7d
ADANIGREEN,-0.0002,0.1119,2622,1m,7d
ADANIPORTS,-0.0014,0.0753,2622,1m,7d
ADANIPOWER,0.0002,0.1478,2622,1m,7d
ADFFOODS,-0.0014,0.156,1903,1m,7d
ADL,0.0175,1.2399,463,1m,7d
ADORWELD,-0.0004,0.2002,1827,1m,7d
ADROITINFO,0.0238,0.9822,548,1m,7d
ADSL,-0.0013,0.2046,2285,1m,7d
ADVANIHOTR,0.0021,0.2839,2347,1m,7d
ADVENZYMES,-0.0001,0.1353,2376,1m,7d
AEGISCHEM,0.004,0.1523,2543,1m,7d
AEROFLEX,0.0016,0.1788,2450,1m,7d
AETHER,0.0016,0.1104,2265,1m,7d
AFFLE,-0.0005,0.1092,2603,1m,7d
AGARIND,-0.0009,0.2032,1656,1m,7d
AGI,0.0024,0.1717,2510,1m,7d
AGRITECH,-0.0007,0.4119,1484,1m,7d
AGROPHOS,0.0039,0.4125,1690,1m,7d
AGSTRA,-0.0007,0.5083,1486,1m,7d
AHL,0.0195,0.3323,2001,1m,7d
AHLADA,-0.0036,0.3614,928,1m,7d
AHLEAST,-0.0065,0.5744,681,1m,7d
AHLUCONT,-0.0006,0.1284,2341,1m,7d
AIAENG,-0.0008,0.1332,2438,1m,7d
AIRAN,-0.0009,0.6284,1903,1m,7d
AIROLAM,0.0073,0.7326,609,1m,7d
AJANTPHARM,-0.0025,0.1235,2500,1m,7d
AJMERA,0.0038,0.2501,2340,1m,7d
AJOONI,-0.0013,0.6053,1934,1m,7d
AKASH,0.0085,0.8206,924,1m,7d
AKG,0.0008,0.4677,964,1m,7d
AKI,-0.0286,1.2223,555,1m,7d
AKSHAR,0.0,0.3235,474,1m,7d
AKSHARCHEM,0.0053,1.0299,412,1m,7d
AKSHOPTFBR,0.007,0.5892,1040,1m,7d
AKZOINDIA,0.0001,0.1254,2147,1m,7d
ALANKIT,-0.1163,0.7297,42,1m,7d
ALBERTDAVD,0.0049,0.2865,1027,1m,7d
ALEMBICLTD,0.0008,0.1669,2436,1m,7d
ALICON,0.0036,0.2408,1045,1m,7d
ALKALI,0.0038,0.3948,831,1m,7d
ALKEM,-0.0015,0.0721,2620,1m,7d
ALKYLAMINE,0.0039,0.1545,2592,1m,7d
ALLCARGO,-0.0003,0.1946,2616,1m,7d
ALLSEC,-0.0013,0.2207,1406,1m,7d
ALMONDZ,0.0037,0.791,428,1m,7d
ALOKINDS,-0.001,0.2348,2621,1m,7d
ALPA,0.0016,0.3005,900,1m,7d
ALPHAGEO,-0.0038,0.342,1098,1m,7d
ALPSINDUS,0.0356,1.3334,628,1m,7d
AMBER,-0.0006,0.1116,2619,1m,7d
AMBICAAGAR,-0.002,0.6392,648,1m,7d
AMBIKCO,-0.0009,0.2099,1166,1m,7d
AMBUJACEM,-0.0013,0.0858,2620,1m,7d
AMDIND,0.0028,0.6293,942,1m,7d
AMIORG,0.0031,0.1626,2527,1m,7d
AMJLAND,0.0014,0.5365,775,1m,7d
AMNPLST,0.0024,0.511,672,1m,7d
AMRUTANJAN,0.001,0.2097,1870,1m,7d
ANANDRATHI,0.0061,0.1937,2567,1m,7d
ANANTRAJ,0.0011,0.1416,2497,1m,7d
ANDHRAPAP,-0.0002,0.1173,2084,1m,7d
ANDHRSUGAR,0.0026,0.1951,2048,1m,7d
ANGELONE,-0.0022,0.1378,2622,1m,7d
ANIKINDS,0.0201,0.7767,833,1m,7d
ANKITMETAL,-0.0,1.0248,751,1m,7d
ANMOL,0.001,0.2464,2053,1m,7d
ANTGRAPHIC,-0.4007,1.7243,42,1m,7d
ANUP,0.0018,0.1849,2183,1m,7d
ANURAS,-0.0027,0.134,2139,1m,7d
APARINDS,0.0006,0.1382,2612,1m,7d
APCL,0.0024,0.3279,730,1m,7d
APCOTEXIND,0.0022,0.1919,1303,1m,7d
APEX,-0.0004,0.1684,1532,1m,7d
APLAPOLLO,-0.0015,0.1173,2621,1m,7d
APLLTD,-0.0008,0.1329,2585,1m,7d
APOLLO,0.0005,0.1698,2577,1m,7d
APOLLOHOSP,0.0003,0.067,2622,1m,7d
APOLLOPIPE,0.0003,0.1659,1913,1m,7d
APOLLOTYRE,0.0012,0.0966,2619,1m,7d
APOLSINHOT,0.0014,0.4877,966,1m,7d
APTECHT,-0.001,0.1432,2326,1m,7d
APTUS,-0.0015,0.1388,2515,1m,7d
ARCHIDPLY,0.0152,0.4402,1930,1m,7d
ARCHIES,0.0093,0.9208,546,1m,7d
ARE&M,0.0038,0.1371,2621,1m,7d
ARENTERP,0.0132,1.7279,234,1m,7d
ARIES,-0.0032,0.2264,1625,1m,7d
ARIHANTCAP,-0.003,0.2874,1367,1m,7d
ARIHANTSUP,0.0008,0.5328,893,1m,7d
ARMANFIN,0.0009,0.2019,1760,1m,7d
AROGRANITE,0.0161,0.4979,624,1m,7d
ARROWGREEN,0.0031,0.2912,1291,1m,7d
ARSHIYA,0.006,0.8672,835,1m,7d
