time,price,volume
1718345625389.0,95.5,250.0
1718345625882.0,95.6,25.0
1718345626581.0,95.3,25.0
1718345626628.0,95.45,25.0
1718345627570.0,95.3,250.0
1718345627913.0,95.25,50.0
1718345628802.0,95.3,25.0
1718345628890.0,95.2,50.0
1718345629960.0,95.25,50.0
1718345629960.0,95.25,50.0
1718345630548.0,95.25,50.0
1718345630910.0,95.25,75.0
1718345631525.0,94.55,25.0
1718345631814.0,94.7,25.0
1718345632031.0,94.85,25.0
1718345632031.0,94.85,25.0
1718345633764.0,94.8,25.0
1718345633910.0,94.7,25.0
1718345635021.0,95.0,25.0
1718345635584.0,95.15,25.0
1718345635929.0,95.1,100.0
1718345636572.0,95.15,100.0
1718345636910.0,94.95,150.0
1718345637394.0,95.1,350.0
1718345637788.0,95.3,25.0
1718345638965.0,95.3,25.0
1718345638992.0,95.35,25.0
1718345639978.0,95.3,75.0
1718345639978.0,95.3,75.0
1718345640576.0,95.15,25.0
1718345640888.0,95.5,25.0
1718345641962.0,95.3,50.0
1718345641962.0,95.3,50.0
1718345642442.0,95.15,25.0
1718345642937.0,95.15,25.0
1718345643541.0,94.85,75.0
1718345643963.0,95.0,50.0
1718345644487.0,95.45,75.0
1718345645783.0,95.35,25.0
1718345645783.0,95.35,25.0
1718345646718.0,95.4,25.0
1718345646905.0,95.45,25.0
1718345647690.0,95.35,50.0
1718345647978.0,95.45,25.0
1718345648586.0,95.3,25.0
1718345648980.0,95.4,75.0
1718345649604.0,95.0,25.0
1718345649867.0,95.15,250.0
1718345650499.0,95.2,200.0
1718345650779.0,95.25,25.0
1718345651816.0,95.0,25.0
1718345651816.0,95.0,25.0
1718345652635.0,95.1,50.0
1718345652635.0,95.1,50.0
1718345653473.0,94.95,100.0
1718345653851.0,95.25,25.0
1718345654628.0,95.4,50.0
1718345654628.0,95.4,50.0
1718345655662.0,95.3,25.0
1718345655662.0,95.3,25.0
1718345656383.0,94.9,150.0
1718345657767.0,94.8,25.0
1718345657767.0,94.8,25.0
1718345658534.0,95.35,25.0
1718345658884.0,95.0,25.0
1718345659525.0,95.2,25.0
1718345659980.0,95.25,25.0
1718345660634.0,95.3,25.0
1718345660911.0,95.2,75.0
1718345661952.0,95.15,50.0
1718345662440.0,95.35,25.0
1718345662774.0,95.2,25.0
1718345663216.0,95.15,75.0
1718345663911.0,95.5,50.0
1718345664327.0,95.5,25.0
1718345664327.0,95.5,25.0
1718345665509.0,95.55,25.0
1718345665807.0,95.6,50.0
1718345666884.0,96.1,175.0
1718345666884.0,96.1,175.0
1718345668084.0,95.6,250.0
1718345669080.0,94.9,200.0
1718345669925.0,95.25,25.0
1718345670119.0,95.15,25.0
1718345670982.0,95.1,25.0
1718345671541.0,94.95,125.0
1718345671973.0,95.05,50.0
1718345672245.0,95.2,25.0
1718345672245.0,95.2,25.0
1718345673506.0,95.05,50.0
1718345673925.0,95.05,25.0
