time,price,volume
1719895352821,51.65,100
1719895353783,51.65,25
1719895354704,51.45,25
1719895355093,51.45,25
1719895356035,51.45,325
1719895356220,51.45,125
1719895356814,51.35,25
1719895357336,51.45,25
1719895357631,51.7,200
1719895358229,51.7,25
1719895358835,51.5,25
1719895359420,51.45,25
1719895359820,51.3,25
1719895360852,51.3,50
1719895361482,51.3,25
1719895361945,51.4,25
1719895362663,51.3,25
1719895362948,51.25,50
1719895363708,51.05,25
1719895364395,51.15,150
1719895364829,51.3,825
1719895365326,51.3,100
1719895365989,51.3,25
1719895366511,51.5,25
1719895366802,51.6,50
1719895367813,51.4,25
1719895368875,51.15,25
1719895369787,51.35,175
1719895370733,51.05,25
1719895371190,51.0,150
1719895371891,50.8,25
1719895372630,50.8,50
1719895372854,50.85,100
1719895373766,50.8,50
1719895374809,50.8,25
1719895374925,50.7,75
1719895375828,50.6,50
1719895375898,50.8,25
1719895376863,50.9,125
1719895377183,51.0,50
1719895378065,50.9,25
1719895378500,51.05,25
1719895378825,50.95,25
1719895379820,51.35,25
1719895380851,51.05,75
1719895382042,50.9,25
1719895382270,50.85,25
1719895382839,50.9,75
1719895383619,50.75,25
1719895383619,50.75,25
1719895384826,50.5,25
1719895384924,50.4,125
1719895385973,50.6,225
1719895386304,50.8,75
1719895386875,50.05,100
1719895387781,50.25,25
1719895388018,50.15,25
1719895388879,50.1,25
1719895389666,50.0,25
1719895389999,50.2,25
1719895390540,50.1,250
1719895390884,50.3,150
1719895391872,50.75,25
1719895392876,50.85,25
1719895393090,51.35,25
1719895393852,51.0,25
1719895394166,50.95,25
1719895395069,50.75,25
1719895395354,50.5,100
1719895395835,50.65,25
1719895396668,51.05,25
1719895396854,51.0,25
1719895397878,51.15,25
1719895398893,51.35,25
1719895399100,51.6,25
1719895399903,51.9,25
1719895400530,51.95,25
1719895400763,51.85,25
1719895401728,51.75,25
1719895402077,51.6,50
1719895402810,51.35,25
1719895402991,51.2,75
1719895403824,51.25,100
1719895404323,51.0,25
1719895404814,51.2,50
1719895405813,51.1,25
1719895405813,51.1,25
1719895406849,51.45,25
1719895406849,51.45,25
1719895407949,51.1,25
1719895408860,51.05,25
1719895409307,51.25,25
1719895409848,51.3,75
1719895410380,51.5,25
1719895410774,51.3,50
1719895411681,51.55,100
1719895411681,51.55,100
1719895412931,51.7,175
1719895412931,51.7,175
1719895413790,51.75,150
1719895413790,51.75,150
1719895414831,51.9,25
1719895414909,51.9,25
1719895415026,51.9,100
1719895415829,52.05,100
1719895416556,51.9,100
1719895416773,52.05,75
1719895417534,51.65,25
1719895417786,51.65,25
1719895418749,51.85,25
1719895418749,51.85,25
1719895419838,51.65,25
1719895420883,51.55,25
1719895420934,51.5,50
1719895421137,51.6,100
1719895421778,51.65,50
1719895422449,51.6,50
1719895422837,51.6,175
1719895423828,51.7,50
1719895423828,51.7,50
1719895424857,51.6,100
1719895425515,51.55,25
1719895425884,51.6,25
1719895426624,51.65,50
1719895426624,51.65,50
1719895452447,51.95,25
1719895453882,52.25,25
1719895454828,52.25,25
1719895455018,52.3,25
1719895455802,51.85,300
1719895456363,51.9,100
1719895456827,51.6,25
1719895457890,51.65,25
1719895458713,51.65,25
1719895459009,51.65,25
1719895459832,51.5,100
1719895460761,51.3,50
1719895461829,51.6,25
1719895461964,51.55,25
1719895462843,51.8,25
1719895463517,51.8,25
1719895463839,51.85,25
1719895464656,52.0,25
1719895464996,52.05,25
1719895465479,52.05,25
1719895465479,52.05,25
1719895466868,51.95,25
1719895467599,52.05,25
1719895467848,51.85,25
1719895469028,51.6,25
1719895469990,51.7,50
1719895469990,51.7,50
1719895470705,51.8,50
1719895471301,51.9,50
1719895471894,51.75,175
1719895472214,51.85,25
1719895472920,51.85,50
1719895473107,51.9,25
1719895473820,51.9,25
1719895474605,51.6,25
1719895474605,51.6,25
1719895475011,51.55,75
1719895475927,51.4,75
1719895476623,51.15,25
1719895476774,51.05,50
1719895477693,51.1,25
1719895477932,51.0,200
1719895478791,51.1,50
1719895479759,51.2,25
1719895479759,51.2,25
1719895480862,51.35,25
1719895480944,51.35,25
1719895480944,51.35,25
1719895481882,51.55,50
1719895481882,51.55,50
1719895482913,51.55,25
1719895483373,51.85,25
1719895483373,51.85,25
1719895484681,51.25,175
1719895485782,51.4,25
1719895486806,51.35,50
1719895486806,51.35,50
1719895487703,51.3,25
1719895487958,51.3,25
1719895488333,51.3,25
1719895488899,51.2,25
1719895489472,51.3,25
1719895489472,51.3,25
1719895490432,51.4,25
1719895490927,51.25,50
1719895491738,51.25,75
1719895491966,51.2,25
1719895492850,51.45,75
1719895492850,51.45,75
1719895493616,51.35,25
1719895494230,51.4,50
1719895494747,51.35,25
1719895495401,51.4,25
1719895495825,51.3,200
1719895496723,51.0,25
1719895502451,51.15,25
1719895502863,51.0,75
1719895503544,51.15,75
1719895503820,51.1,25
1719895505149,51.4,50
1719895505862,51.25,100
1719895506238,51.75,25
1719895506741,51.8,25
1719895507600,51.75,25
1719895507600,51.75,25
1719895508880,51.9,75
1719895509116,51.75,25
1719895509933,51.95,500
1719895510884,51.85,25
1719895510963,51.4,25
1719895511551,51.5,25
1719895512296,51.25,100
1719895513049,51.2,25
1719895513968,51.15,125
1719895514767,51.25,25
1719895514967,51.35,25
1719895515645,51.35,25
1719895516705,51.0,50
1719895517118,50.75,50
1719895517890,50.75,25
1719895518106,50.65,25
1719895518907,50.5,450
1719895519709,50.45,100
1719895519958,50.65,25
1719895520927,50.8,25
1719895521020,50.7,100
1719895521875,50.9,25
1719895522384,50.75,25
1719895522864,50.55,125
1719895523907,50.4,25
1719895524085,50.3,25
1719895525103,50.25,25
1719895525154,50.2,325
1719895525748,50.35,50
1719895526310,50.45,25
1719895526580,50.35,25
1719895527674,50.3,25
1719895527915,50.35,25
1719895528926,50.4,25
1719895529919,50.25,50
1719895530211,50.2,25
1719895530748,50.15,25
1719895530748,50.15,25
1719895531492,50.25,25
1719895531909,50.25,25
1719895532927,50.0,200
1719895532973,50.05,25
1719895533961,50.0,50
1719895534371,50.05,250
1719895534963,50.15,25
1719895535728,50.15,175
1719895535955,50.15,25
1719895536912,50.5,25
1719895537021,50.5,25
1719895537901,50.4,25
1719895542940,50.15,75
1719895542940,50.15,75
1719895544155,49.85,25
1719895544522,49.7,75
1719895545345,49.95,125
1719895572997,51.25,50
1719895573410,51.2,100
1719895573846,51.25,125
1719895574923,51.7,275
1719895576194,51.9,50
1719895576401,51.8,25
1719895576841,51.85,25
1719895577815,52.2,50
1719895578720,52.1,250
1719895579608,52.15,25
1719895579986,52.25,50
1719895580817,52.2,25
1719895580935,52.6,400
1719895582140,52.0,75
1719895582411,52.05,25
1719895582555,51.95,75
1719895583282,51.95,125
1719895583906,52.05,250
1719895584760,51.9,50
1719895584760,51.9,50
1719895585913,51.9,100
1719895586141,52.0,25
1719895586974,51.9,100
1719895587363,52.0,200
1719895587918,52.25,25
1719895588998,52.0,25
1719895589235,52.05,50
1719895589791,52.0,475
1719895590833,52.25,150
1719895590904,52.35,50
1719895591953,52.3,25
1719895592526,52.15,25
1719895592962,52.25,25
1719895594191,52.0,25
1719895594759,51.9,100
1719895596039,51.55,150
1719895596742,51.8,50
1719895597209,51.9,25
1719895597985,52.0,200
1719895598603,52.1,50
1719895598901,52.15,25
1719895599830,52.05,25
1719895601013,52.05,25
1719895601212,52.0,25
1719895601914,51.75,25
1719895602357,52.05,25
1719895602357,52.05,25
1719895603895,52.0,25
1719895603895,52.0,25
1719895605017,51.9,100
1719895605017,51.9,100
1719895605993,52.0,50
1719895606219,52.05,175
1719895606378,52.0,25
1719895606378,52.0,25
1719895607324,52.2,75
1719895608105,52.15,25
1719895608592,52.05,100
1719895608909,52.0,100
1719895609844,52.0,25
1719895610900,52.1,125
1719895610900,52.1,125
1719895611752,52.2,725
1719895612216,52.1,25
1719895612740,52.35,150
1719895613661,52.4,175
1719895613661,52.4,175
1719895614617,52.3,175
1719895615010,52.35,100
1719895615815,52.45,25
1719895615970,52.3,150
1719895616953,52.5,250
1719895617908,52.35,800
1719895618985,52.0,25
1719895619137,51.8,25
1719895619835,51.95,25
1719895620244,51.9,25
1719895620713,51.8,50
1719895621021,51.9,25
1719895621201,52.2,25
1719895621993,52.15,175
1719895622034,52.2,100
1719895622978,52.2,50
1719895623479,52.4,25
1719895623676,52.2,25
1719895624783,52.15,50
1719895625002,52.2,125
1719895625896,52.25,25
1719895625896,52.25,25
1719895626772,52.3,25
1719895626772,52.3,25
1719895627946,52.45,25
1719895628265,52.45,25
1719895628991,52.3,375
1719895629073,52.15,250
1719895629782,52.2,25
1719895629782,52.2,25
1719895630845,52.1,25
1719895631442,52.15,25
1719895632016,51.95,25
1719895632568,52.15,125
1719895633017,52.2,25
1719895633623,52.35,25
1719895633623,52.35,25
1719895635043,52.35,75
1719895635980,52.35,25
1719895636987,52.4,100
1719895636987,52.4,100
1719895637643,52.0,100
1719895638464,51.4,25
1719895638976,51.45,25
1719895639663,51.15,375
1719895639994,51.0,425
1719895640853,50.9,25
1719895641125,50.75,25
1719895641862,50.55,25
1719895643138,50.75,75
1719895643327,50.6,25
1719895643957,50.7,25
1719895644709,50.75,25
1719895644744,50.95,25
1719895646003,50.75,25
1719895646003,50.75,25
1719895646909,50.8,25
1719895646909,50.8,25
1719895648084,50.75,25
1719895649012,50.6,25
1719895649012,50.6,25
1719895649981,50.6,25
1719895650657,50.4,100
1719895650957,50.45,225
1719895651985,50.25,25
1719895653045,50.15,25
1719895653107,50.3,150
1719895653990,50.45,25
1719895654946,50.7,50
1719895655269,50.6,225
1719895705798,49.5,125
1719895706089,49.75,25
1719895732014,49.2,75
1719895732284,49.35,25
1719895733039,49.2,25
