time,price,volume
1719461503965,7.9,350
1719461504644,7.8,25
1719461505144,7.8,50
1719461505375,7.85,25
1719461505677,7.75,25
1719461506383,7.85,25
1719461506684,7.85,25
1719461507730,7.75,1100
1719461507849,7.75,50
1719461508686,7.75,300
1719461508969,7.7,250
1719461509906,7.7,25
1719461510131,7.75,25
1719461510692,7.75,25
1719461511175,7.7,150
1719461511562,7.7,75
1719461511715,7.65,50
1719461512585,7.7,25
1719461512728,7.8,25
1719461513586,7.75,25
1719461513701,7.75,25
1719461514794,7.7,25
1719461514904,7.7,25
1719461515700,7.65,25
1719461515998,7.5,50
1719461516699,7.4,125
1719461517187,7.55,50
1719461517905,7.6,75
1719461518407,7.55,75
1719461518706,7.7,25
1719461519377,7.8,25
1719461519673,7.8,25
1719461520049,7.7,50
1719461520364,7.75,175
1719461520925,7.75,200
1719461521394,7.7,200
1719461521710,7.75,50
1719461522585,7.8,250
1719461522638,7.85,625
1719461523534,7.75,25
1719461523888,7.7,25
1719461524576,7.85,25
1719461524709,7.8,25
1719461525608,7.75,25
1719461525691,7.8,225
1719461526732,7.95,25
1719461526901,7.95,50
1719461527685,8.05,25
1719461528000,8.15,50
1719461528685,8.1,25
1719461528935,8.05,75
1719461529694,8.05,700
1719461530013,7.95,25
1719461530847,8.1,25
1719461531200,8.05,25
1719461531587,8.05,25
1719461531712,8.1,50
1719461532685,8.1,25
1719461532788,8.05,250
1719461533579,8.15,125
1719461533768,8.0,75
1719461534499,8.05,25
1719461534675,8.0,325
1719461535621,8.05,475
1719461535621,8.05,475
1719461536703,8.05,25
1719461536728,8.1,25
1719461537646,8.05,250
1719461537768,8.1,100
1719461538805,8.05,25
1719461539690,8.15,125
1719461540022,8.15,50
1719461540300,8.25,100
1719461540719,8.25,25
1719461541832,8.25,50
1719461541903,8.25,25
1719461542718,8.25,1000
1719461542781,8.25,100
1719461543717,8.35,50
1719461544000,8.35,50
1719461544704,8.35,50
1719461545000,8.35,50
1719461545720,8.4,250
1719461546239,8.55,50
1719461546355,8.55,25
1719461546659,8.5,75
1719461547439,8.35,25
1719461547867,8.4,50
1719461548444,8.4,1000
1719461548689,8.3,25
1719461549635,8.4,50
1719461549716,8.4,875
1719461550062,8.4,400
1719461550626,8.35,75
1719461550825,8.35,150
1719461551710,8.45,25
1719461552726,8.45,275
1719461552815,8.45,75
1719461553794,8.45,25
1719461554673,8.35,325
1719461554673,8.35,325
1719461555623,8.35,50
1719461556029,8.3,25
1719461556702,8.35,25
1719461557005,8.35,150
1719461557614,8.35,25
1719461558000,8.3,50
1719461558643,8.2,300
1719461559000,8.25,50
1719461559717,8.2,250
1719461560043,8.2,25
1719461560423,8.25,25
1719461560706,8.25,25
1719461561310,8.25,25
1719461561742,8.25,25
1719461562467,8.35,75
1719461562930,8.3,25
1719461563707,8.45,25
1719461564745,8.45,25
1719461564864,8.5,50
1719461565849,8.5,50
1719461566724,8.45,675
1719461566808,8.4,675
1719461567556,8.45,200
1719461567556,8.45,200
1719461568807,8.45,25
1719461569729,8.5,25
1719461570000,8.5,50
1719461570507,8.5,550
1719461571253,8.45,475
1719461571460,8.3,400
1719461571948,8.35,275
1719461572702,8.4,500
1719461573681,8.4,225
1719461574730,8.45,25
1719461574797,8.45,25
1719461575662,8.35,25
1719461575867,8.45,25
1719461576638,8.25,50
1719461577080,8.3,200
1719461577733,8.3,50
1719461578224,8.3,25
1719461578686,8.3,200
1719461579119,8.3,25
1719461579413,8.25,50
1719461579701,8.3,875
1719461580036,8.25,150
1719461580633,8.25,25
1719461580726,8.25,100
1719461581676,8.2,150
1719461581731,8.3,25
1719461582729,8.25,25
1719461583704,8.25,50
1719461583880,8.2,1025
1719461584705,8.3,50
1719461585000,8.35,50
1719461585652,8.4,25
1719461586260,8.5,50
1719461586302,8.45,225
1719461586716,8.5,50
1719461587739,8.5,200
1719461588657,8.65,25
1719461589757,8.6,50
1719461589901,8.7,25
1719461590715,8.7,275
1719461591098,8.75,300
1719461591733,8.75,900
1719461592073,8.75,425
1719461592841,8.75,925
1719461593284,8.7,250
1719461593436,8.75,225
1719461593743,8.7,175
1719461594723,8.55,25
1719461595750,8.55,200
1719461595906,8.45,125
1719461596755,8.4,225
1719461596824,8.45,25
1719461597712,8.4,25
1719461598712,8.5,125
1719461598872,8.4,750
1719461599722,8.4,50
1719461599962,8.45,25
1719461600717,8.4,50
1719461601088,8.4,225
1719461605733,8.4,25
1719461606081,8.35,25
1719461606751,8.45,25
1719461607753,8.6,100
1719461608659,8.6,200
1719461608919,8.6,25
1719461609704,8.5,50
1719461609704,8.5,50
1719461610098,8.5,50
1719461610672,8.65,150
1719461611684,8.45,25
1719461611932,8.45,775
1719461612724,8.5,200
1719461612860,8.5,25
1719461613617,8.55,50
1719461613925,8.55,100
1719461614702,8.55,150
1719461615055,8.6,100
1719461615745,8.6,975
1719461616310,8.55,50
1719461616342,8.55,100
1719461616727,8.45,100
1719461617489,8.55,250
1719461617743,8.55,25
1719461618599,8.6,225
1719461619543,8.4,25
1719461620688,8.45,25
1719461620903,8.45,25
1719461621685,8.4,125
1719461621833,8.45,25
1719461622766,8.45,775
1719461623126,8.4,100
1719461623581,8.4,100
1719461623827,8.4,50
1719461624764,8.15,50
1719461625124,8.05,50
1719461625848,8.15,375
1719461626238,8.2,25
1719461626736,8.15,100
1719461627015,8.15,50
1719461627772,8.1,50
1719461628352,8.0,25
1719461628525,7.95,250
1719461628751,8.0,25
1719461629762,8.05,75
1719461630732,8.0,250
