datetime,ltp,qty
1718345625389,95.5,250
1718345625882,95.6,25
1718345626581,95.3,25
1718345626628,95.45,25
1718345627570,95.3,250
1718345627913,95.25,50
1718345628802,95.3,25
1718345628890,95.2,50
1718345629960,95.25,50
1718345629960,95.25,50
1718345630548,95.25,50
1718345630910,95.25,75
1718345631525,94.55,25
1718345631814,94.7,25
1718345632031,94.85,25
1718345632031,94.85,25
1718345633764,94.8,25
1718345633910,94.7,25
1718345635021,95.0,25
1718345635584,95.15,25
1718345635929,95.1,100
1718345636572,95.15,100
1718345636910,94.95,150
1718345637394,95.1,350
1718345637788,95.3,25
1718345638965,95.3,25
1718345638992,95.35,25
1718345639978,95.3,75
1718345639978,95.3,75
1718345640576,95.15,25
1718345640888,95.5,25
1718345641962,95.3,50
1718345641962,95.3,50
1718345642442,95.15,25
1718345642937,95.15,25
1718345643541,94.85,75
1718345643963,95.0,50
1718345644487,95.45,75
1718345645783,95.35,25
1718345645783,95.35,25
1718345646718,95.4,25
1718345646905,95.45,25
1718345647690,95.35,50
1718345647978,95.45,25
1718345648586,95.3,25
1718345648980,95.4,75
1718345649604,95.0,25
1718345649867,95.15,250
1718345650499,95.2,200
1718345650779,95.25,25
1718345651816,95.0,25
1718345651816,95.0,25
1718345652635,95.1,50
1718345652635,95.1,50
1718345653473,94.95,100
1718345653851,95.25,25
1718345654628,95.4,50
1718345654628,95.4,50
1718345655662,95.3,25
1718345655662,95.3,25
1718345656383,94.9,150
1718345657767,94.8,25
1718345657767,94.8,25
1718345658534,95.35,25
1718345658884,95.0,25
1718345659525,95.2,25
1718345659980,95.25,25
1718345660634,95.3,25
1718345660911,95.2,75
1718345661952,95.15,50
1718345662440,95.35,25
1718345662774,95.2,25
1718345663216,95.15,75
1718345663911,95.5,50
1718345664327,95.5,25
1718345664327,95.5,25
1718345665509,95.55,25
1718345665807,95.6,50
1718345666884,96.1,175
1718345666884,96.1,175
1718345668084,95.6,250
1718345669080,94.9,200
1718345669925,95.25,25
1718345670119,95.15,25
1718345670982,95.1,25
1718345671541,94.95,125
1718345671973,95.05,50
1718345672245,95.2,25
1718345672245,95.2,25
